x,y,intensity,area
3.002272e+03,1.238715e+03,nan,nan
3.422108e+03,1.226901e+03,nan,nan
3.875139e+03,1.229696e+03,nan,nan
3.171897e+03,1.245359e+03,nan,nan
2.340071e+03,1.255570e+03,nan,nan
2.553723e+03,1.242146e+03,nan,nan
2.460282e+03,1.249627e+03,nan,nan
3.562135e+03,1.256450e+03,nan,nan
2.407698e+03,1.248774e+03,nan,nan
3.393918e+03,1.272703e+03,nan,nan
3.941674e+03,1.264548e+03,nan,nan
2.938711e+03,1.271479e+03,nan,nan
3.323753e+03,1.271280e+03,nan,nan
2.126119e+03,1.279763e+03,nan,nan
2.496245e+03,1.281306e+03,nan,nan
2.377693e+03,1.282435e+03,nan,nan
2.539765e+03,1.300671e+03,nan,nan
3.227600e+03,1.276683e+03,nan,nan
3.489404e+03,1.285349e+03,nan,nan
2.696317e+03,1.293689e+03,nan,nan
3.901714e+03,1.297270e+03,nan,nan
3.094494e+03,1.301918e+03,nan,nan
2.183959e+03,1.297657e+03,nan,nan
2.238369e+03,1.283026e+03,nan,nan
3.034782e+03,1.288822e+03,nan,nan
3.832982e+03,1.304650e+03,nan,nan
3.653482e+03,1.303261e+03,nan,nan
2.271705e+03,1.312332e+03,nan,nan
2.981265e+03,1.309986e+03,nan,nan
3.315747e+03,1.320902e+03,nan,nan
3.701220e+03,1.313179e+03,nan,nan
2.794937e+03,1.312247e+03,nan,nan
3.264668e+03,1.309071e+03,nan,nan
2.910298e+03,1.327643e+03,nan,nan
2.316815e+03,1.335193e+03,nan,nan
3.175760e+03,1.335035e+03,nan,nan
3.037147e+03,1.349062e+03,nan,nan
2.614002e+03,1.335223e+03,nan,nan
3.242504e+03,1.353359e+03,nan,nan
3.417826e+03,1.345653e+03,nan,nan
2.421078e+03,1.364941e+03,nan,nan
2.617915e+03,1.373860e+03,nan,nan
3.600897e+03,1.372162e+03,nan,nan
2.538699e+03,1.376062e+03,nan,nan
3.332732e+03,1.375490e+03,nan,nan
2.253283e+03,1.372892e+03,nan,nan
3.692577e+03,1.371300e+03,nan,nan
3.887730e+03,1.381022e+03,nan,nan
2.891029e+03,1.385374e+03,nan,nan
3.788869e+03,1.383462e+03,nan,nan
2.689534e+03,1.403200e+03,nan,nan
3.274092e+03,1.399923e+03,nan,nan
3.190501e+03,1.394396e+03,nan,nan
2.303113e+03,1.401722e+03,nan,nan
3.371383e+03,1.406815e+03,nan,nan
3.728318e+03,1.412807e+03,nan,nan
3.027787e+03,1.400447e+03,nan,nan
